id	name	url	vac_type	from	to	employer_name	schedule	employment	experience	key_skills	bad
31217647	Senior Developer C++/QT	https://hh.ru/vacancy/31217647	C/C++	180000	180000	Транзас	Полный день	Полная занятость	От 3 до 6 лет	C++, Qt, Scrum, JavaScript, Python, Cmake, Boost, Thrift, BitBucket, Jenkins, Ubuntu, Windows	
30506765	Разработчик С++/Qt	https://hh.ru/vacancy/30506765	C/C++	138000	138000	Специальный Технологический Центр	Полный день	Полная занятость	От 3 до 6 лет	C++, QML, Qt	
31192987	Программист C/C++	https://hh.ru/vacancy/31192987	C/C++	40000	107000	СевенТест, НТЦ	Гибкий график	Полная занятость	От 3 до 6 лет		
31412376	Программист С++/Qt	https://hh.ru/vacancy/31412376	C/C++	80000	80000	AirNet	Полный день	Полная занятость	От 1 года до 3 лет	C/C++, Linux, Qt	
29370938	Разработчик C	https://hh.ru/vacancy/29370938	C/C++	86000	126000	НИИ МАСШТАБ	Полный день	Полная занятость	От 3 до 6 лет	Linux, GDB, C/C++, Networking	
30368343	Инженер-программист (Qt/С++)	https://hh.ru/vacancy/30368343	C/C++	86000	86000	Специальный Технологический Центр	Полный день	Полная занятость	От 1 года до 3 лет		
29441481	Программист С++/Qt	https://hh.ru/vacancy/29441481	C/C++	80000	161000	Специальный Технологический Центр	Полный день	Полная занятость	От 1 года до 3 лет	C++, Qt, Linux, windows, STL	
30417414	Программист C/С++	https://hh.ru/vacancy/30417414	C/C++	80000	80000	«АНТ» ГРУППА КОМПАНИЙ	Полный день	Полная занятость	От 3 до 6 лет		
31404073	Программист С++	https://hh.ru/vacancy/31404073	C/C++	63000	98000	Tools For Brokers	Полный день	Полная занятость	От 1 года до 3 лет	C++, STL, Boost, MetaTrader, Multithread Programming	
30368287	Инженер-программист Qt/C++ ( Junior )	https://hh.ru/vacancy/30368287	C/C++	75000	75000	Специальный Технологический Центр	Полный день	Полная занятость	От 1 года до 3 лет		
30652250	Программист С++	https://hh.ru/vacancy/30652250	C/C++	69000	69000	Институт телекоммуникаций	Полный день	Полная занятость	От 3 до 6 лет		
31452205	Ведущий инженер-программист (C/C++)	https://hh.ru/vacancy/31452205	C/C++	287000	287000	Авалон Технолоджис	Гибкий график	Полная занятость	От 3 до 6 лет		
31329538	Программист C/С++	https://hh.ru/vacancy/31329538	C/C++	69000	115000	Решение	Полный день	Полная занятость	От 1 года до 3 лет		
29634697	Инженер-программист C++ (QT)	https://hh.ru/vacancy/29634697	C/C++	92000	92000	Специальный Технологический Центр	Полный день	Полная занятость	От 1 года до 3 лет	C++, HTML, Linux, Windows 7, Qt, Git	
26791165	Инженер-программист С++ (навигационное ПО)	https://hh.ru/vacancy/26791165	C/C++	200000	200000	Транзас	Полный день	Полная занятость	От 3 до 6 лет	Python, Design Patterns, Linux, Windows, C++	
30965572	Программист C/С++	https://hh.ru/vacancy/30965572	C/C++	115000	115000	Специальный Технологический Центр	Полный день	Полная занятость	От 3 до 6 лет		
24812039	Программист C/С++	https://hh.ru/vacancy/24812039	C/C++	80000	115000	Специальный Технологический Центр	Полный день	Полная занятость	От 1 года до 3 лет	C++, Linux	
31339278	Программист С++	https://hh.ru/vacancy/31339278	C/C++	69000	149000	Тракт	Полный день	Полная занятость	От 1 года до 3 лет	Multithread Programming, C++	
30563810	Старший инженер-программист С++	https://hh.ru/vacancy/30563810	C/C++	140000	140000	Транзас	Гибкий график	Полная занятость	От 3 до 6 лет	C++, Qt, Git, GUI, Python	
31588318	Программист С++	https://hh.ru/vacancy/31588318	C/C++	100000	100000	ДЖИ-ТИ ИНВЕСТ	Полный день	Полная занятость	От 3 до 6 лет	Qt	
31280217	Системный программист C/C++	https://hh.ru/vacancy/31280217	C/C++	69000	69000	Кванттелеком	Полный день	Полная занятость	От 3 до 6 лет		
31626566	Программист С++	https://hh.ru/vacancy/31626566	C/C++	115000	115000	РУТОЛЛ	Полный день	Полная занятость	От 1 года до 3 лет		
29441576	Программист С++ (в группу пространственной обработки сигналов)	https://hh.ru/vacancy/29441576	C/C++	80000	161000	Специальный Технологический Центр	Полный день	Полная занятость	От 1 года до 3 лет	ЦОС, C++, MATLAB, Linux	
31548107	Ведущий инженер-программист (С++)	https://hh.ru/vacancy/31548107	C/C++	42000	80000	НИЦ Радиотехники	Полный день	Полная занятость	От 3 до 6 лет		
31285214	Программист C++	https://hh.ru/vacancy/31285214	C/C++	92000	92000	Механотроника РА	Полный день	Полная занятость	От 1 года до 3 лет		
