name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Специалист по компьютерному зрению;https://hh.ru/vacancy/31594929;31594929;75000;75000;Новые Решения;Сменный график;Проектная работа;От 1 года до 3 лет;[]
Senior Computer Vision Specialist;https://hh.ru/vacancy/31618692;31618692;215000;260000;Saifer;Полный день;Полная занятость;Более 6 лет;[{'name': 'ООП'}, {'name': 'C++'}, {'name': 'SLAM'}, {'name': 'OpenCV'}, {'name': 'PCL'}, {'name': 'Kalman Filtering'}, {'name': 'Multiple View Geometry'}, {'name': 'Sensor Fusion'}]
Data scientist;https://hh.ru/vacancy/31591317;31591317;195000;195000;Staff-UP Consulting Group;Гибкий график;Полная занятость;От 1 года до 3 лет;[]
Senior Data Scientist;https://hh.ru/vacancy/29523761;29523761;180000;180000;JetBrains;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Big Data'}, {'name': 'Python'}, {'name': 'SCALA'}, {'name': 'Data Analysis'}]
Инженер-разработчик С++ (OpenCV);https://hh.ru/vacancy/31510041;31510041;92000;287000;iVariant;Гибкий график;Полная занятость;От 3 до 6 лет;[{'name': 'MS Visual Studio'}, {'name': 'C++'}, {'name': 'C#'}, {'name': 'Python'}, {'name': 'MATLAB'}, {'name': 'Octave'}, {'name': 'Linux'}, {'name': 'Git'}, {'name': 'MS Visual C++'}, {'name': 'OpenCV'}, {'name': 'Windows 7'}]
Senior Machine Learning Engineer;https://hh.ru/vacancy/31110828;31110828;193000;289000;Giant;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'computer vision'}, {'name': 'deep learning'}, {'name': 'reinforcement learning'}]
Python-разработчик (Team lead);https://hh.ru/vacancy/29875722;29875722;80000;149000;НИИ МАСШТАБ;Полный день;Полная занятость;От 3 до 6 лет;[]
Data Scientist/ML engineer;https://hh.ru/vacancy/31499507;31499507;100000;100000;Университет ИТМО;Полный день;Полная занятость;От 1 года до 3 лет;[]
Старший/ведущий научный сотрудник сектора НИОКР;https://hh.ru/vacancy/30251073;30251073;57000;69000;Тидекс ( Tydex );Полный день;Полная занятость;Более 6 лет;[]
Бизнес-аналитик / Руководитель IT проектов;https://hh.ru/vacancy/30601211;30601211;92000;92000;Active Group;Полный день;Полная занятость;От 3 до 6 лет;[]
Team Lead iOS;https://hh.ru/vacancy/29285258;29285258;207000;207000;Центр финансовых технологий;Полный день;Полная занятость;От 3 до 6 лет;[]
Алгоритмист/программист (С++);https://hh.ru/vacancy/31628120;31628120;115000;115000;НТЦ Электрозонд;Полный день;Полная занятость;От 3 до 6 лет;[]
